raceId,name,date,time_x,driverId,driverRef,code,constructorId,constructorRef,grid,position,positionOrder,points,time_y,milliseconds,fastestLapTime,fastestLapSpeed,statusId,status,year,prev_date,prev_time,quali_date,relative_position,positionGain,prev_position,fastestSpeedGain,relative_fastestLapSpeed,positionChange,weighted_avg_compound_sentiment,pos_tweets_sum,neg_tweets_sum,total_tweets,avg_compound_sentiment,pos_tweets_perc,neg_tweets_perc,neut_tweets_perc,neut_tweets_sum,pos_tweets_ratio,neg_tweets_ratio
1083,British Grand Prix,2022-07-03,14:00:00,4,alonso,ALO,214,alpine,7,5,5,10.0,+9.571,02:17:59.882000,00:01:31.609000,231.501,1,Finished,2022,2022-06-19,18:00:00,2022-07-02,3.25,4.0,9.0,26.486999999999995,7.930307692307707,-2,0.06498207397094219,24.0,3.0,80.0,0.2322475,30.0,3.75,66.25,53.0,0.8888888888888888,0.1111111111111111
1084,Austrian Grand Prix,2022-07-10,13:00:00,4,alonso,ALO,214,alpine,19,10,10,1.0,,,00:01:08.558000,226.739,11,Finished,2022,2022-07-03,14:00:00,2022-07-08,-1.75,-5.0,5.0,-4.7620000000000005,16.035307692307697,-9,0.23780737077244304,134.0,19.0,504.0,0.17545,26.58730158730159,3.7698412698412698,69.64285714285714,351.0,0.8758169934640523,0.12418300653594772
1085,French Grand Prix,2022-07-24,13:00:00,4,alonso,ALO,214,alpine,7,6,6,8.0,+42.879,01:30:44.991000,00:01:38.160000,214.254,1,Finished,2022,2022-07-10,13:00:00,2022-07-23,2.25,4.0,10.0,-12.485000000000014,37.19830769230771,-1,,,,,,,,,,,
1086,Hungarian Grand Prix,2022-07-31,13:00:00,4,alonso,ALO,214,alpine,6,8,8,4.0,,,00:01:23.979000,187.804,11,Finished,2022,2022-07-24,13:00:00,2022-07-30,0.25,-2.0,6.0,-26.44999999999999,12.914307692307716,2,,,,,,,,,,,
1062,Hungarian Grand Prix,2021-08-01,13:00:00,822,bottas,BOT,131,mercedes,2,,16,0.0,,,,,4,Collision,2021,2021-07-24,00:00:00,2021-07-31,-10.454545454545453,-13.0,3.0,,20.034090909090907,14,0.1971175834251394,206.0,41.0,1005.0,0.1665779104477612,20.497512437810947,4.079601990049751,75.42288557213931,758.0,0.8340080971659919,0.1659919028340081
1063,Belgian Grand Prix,2021-08-29,13:00:00,822,bottas,BOT,131,mercedes,13,12,12,0.0,+22.414,00:03:49.485000,,,1,Finished,2021,2021-08-01,13:00:00,2021-08-28,-6.454545454545454,4.0,16.0,,13.732090909090886,-1,-0.10191326674524306,678.0,752.0,4495.0,0.0009405784204671894,15.083426028921023,16.729699666295883,68.18687430478309,3065.0,0.47412587412587415,0.5258741258741259
1064,Dutch Grand Prix,2021-09-05,13:00:00,822,bottas,BOT,131,mercedes,3,3,3,15.0,+56.460,01:31:01.855000,00:01:12.549000,211.338,1,Finished,2021,2021-08-29,13:00:00,2021-09-04,2.545454545454546,9.0,12.0,,-1.1399090909091,0,0.30092727614131143,131.0,13.0,571.0,0.1972418563922942,22.942206654991242,2.276707530647986,74.78108581436078,427.0,0.9097222222222222,0.09027777777777778
1065,Italian Grand Prix,2021-09-12,13:00:00,822,bottas,BOT,131,mercedes,19,3,3,15.0,+4.921,01:21:59.286000,00:01:24.827000,245.85,1,Finished,2021,2021-09-05,13:00:00,2021-09-10,2.545454545454546,0.0,3.0,34.512,-8.094909090909113,-16,0.25296295020836396,935.0,212.0,3667.0,0.18271838014725936,25.497682028906464,5.781292609762749,68.72102536133079,2520.0,0.8151700087183958,0.18482999128160418
1066,Russian Grand Prix,2021-09-26,12:00:00,822,bottas,BOT,131,mercedes,16,5,5,10.0,+1:07.533,01:31:48.534000,00:01:38.216000,214.352,1,Finished,2021,2021-09-12,13:00:00,2021-09-25,0.5454545454545459,-2.0,3.0,-31.49799999999999,-20.568909090909102,-11,,,,,,,,,,,
1067,Turkish Grand Prix,2021-10-10,12:00:00,822,bottas,BOT,131,mercedes,1,1,1,26.0,1:31:04.103,01:31:04.103000,00:01:30.432000,212.5,1,Finished,2021,2021-09-26,12:00:00,2021-10-09,4.545454545454546,4.0,5.0,-1.8520000000000039,-63.05990909090909,0,,,,,,,,,,,
